feature,shap_h1,shap_h3,shap_h10,shap_h25,shap_avg,shap_max,rank_h1,rank_h3,rank_h10,rank_h25,rank_avg,drop_candidate
feature_cd,0.007798918,0.01552321,0.024937138,0.022514264,0.017693383,0.024937138,8,14,31,38,31,FALSE
feature_ce,0.002279123,0.004066574,0.034133622,0.05306282,0.023385535,0.05306282,30,37,25,26,28,FALSE
feature_cf,0.00333057,0.010012189,0.041874342,0.112307689,0.041881198,0.112307689,19,21,23,20,20,FALSE
feature_cg,0.00934458,0.049123188,0.279021933,0.602907912,0.235099403,0.602907912,7,6,4,3,3,FALSE
feature_ch,6.05E-05,0.001140857,0.001660098,0.014578925,0.004360105,0.014578925,88,59,65,47,50,FALSE
feature_d,0.000997788,0.00041772,0.000306653,9.44E-06,0.000432901,0.000997788,52,80,82,86,82,FALSE
feature_e,0.000567787,0.000324937,0.000193396,7.70E-05,0.000290777,0.000567787,80,83,86,82,86,TRUE
feature_f,0.000498238,0.00023971,0.000148111,3.33E-05,0.000229848,0.000498238,83,85,88,84,88,TRUE
feature_g,0.000885943,0.00059839,0.000192903,2.33E-05,0.000425136,0.000885943,60,75,87,85,83,FALSE
feature_h,0.00153742,0.003276616,0.023862853,0.068531083,0.024301993,0.068531083,41,42,33,24,27,FALSE
feature_i,0.00289099,0.010635594,0.033260595,0.034238912,0.020256523,0.034238912,22,19,26,32,29,FALSE
feature_j,0.001879267,0.002029728,0.012583405,0.034015974,0.012627094,0.034015974,37,48,41,33,37,FALSE
feature_k,0.00079391,0.002118247,0.013327162,0.045487361,0.01543167,0.045487361,66,46,40,29,35,FALSE
feature_l,0.000983085,0.005774505,0.06586796,0.304201773,0.094206831,0.304201773,53,33,13,8,12,FALSE
feature_m,0.002733266,0.010421828,0.048248904,0.064369127,0.031443281,0.064369127,23,20,20,25,25,FALSE
feature_n,0.002650363,0.013455491,0.047219108,0.076155816,0.034870194,0.076155816,26,16,21,23,24,FALSE
feature_o,0.002377214,0.000632415,0.001054301,1.57E-07,0.001016022,0.002377214,28,73,70,88,69,FALSE
feature_p,0.002543254,0.0044683,0.001649863,0.000410316,0.002267933,0.0044683,27,36,66,72,66,FALSE
feature_q,0.000781864,0.001793638,0.004603452,0.006314455,0.003373352,0.006314455,67,53,52,54,55,FALSE
feature_r,0.001637167,0.003706428,0.03494142,0.194872838,0.058789463,0.194872838,40,41,24,13,14,FALSE
feature_s,0.006619206,0.006362009,0.001095735,0.000968959,0.003761477,0.006619206,10,31,69,68,54,FALSE
feature_t,0.003434017,0.006454371,0.006878907,0.020291063,0.00926459,0.020291063,17,30,46,41,42,FALSE
feature_u,0.005612356,0.069722654,0.279573569,0.285774568,0.160170787,0.285774568,12,2,3,10,5,FALSE
feature_v,0.001957815,0.011727316,0.0893286,0.374790178,0.119450977,0.374790178,36,17,12,5,8,FALSE
feature_w,0.001146139,0.000639783,0.000724364,7.33E-05,0.000645885,0.001146139,47,72,73,83,77,FALSE
feature_x,0.001513896,0.001925658,0.006404667,0.002277091,0.003030328,0.006404667,42,49,49,65,56,FALSE
feature_y,0.001705046,0.004557511,0.006869614,0.020139992,0.008318041,0.020139992,39,35,47,42,43,FALSE
feature_z,0.001981992,0.008081271,0.163513754,0.276862607,0.112609906,0.276862607,35,26,7,12,10,FALSE
sub_category,0.040224184,0.105915853,0.459979079,1.095536602,0.42541393,1.095536602,1,1,1,2,1,FALSE
